position[nm]  e33[C/m^2]  e31[C/m^2]  e15[C/m^2]  B311[C/m^2]  B312[C/m^2]  B313[C/m^2]  B333[C/m^2]  B115[C/m^2]  B125[C/m^2]  B135[C/m^2]  B344[C/m^2]
    0.338000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.357500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.392500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.427500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.462500E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.482000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.486000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.490000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.494000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.498000E+002    0.127000E+001   -0.350000E+000   -0.300000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.501000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
    0.503000E+002    0.121000E+001   -0.394000E+000   -0.336000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000    0.000000E+000 
