position[nm]  Gamma_bandedge[eV]  hh_bandedge[eV]
    0.610000E+002    0.238060E+001   -0.105700E+001 
    0.645000E+002    0.238069E+001   -0.105691E+001 
    0.680000E+002    0.238105E+001   -0.105655E+001 
    0.684000E+002    0.238119E+001   -0.105641E+001 
    0.688000E+002    0.238136E+001   -0.105624E+001 
    0.692000E+002    0.238158E+001   -0.105602E+001 
    0.696000E+002    0.238188E+001   -0.105572E+001 
    0.699990E+002    0.238229E+001   -0.105531E+001 
    0.700010E+002    0.167999E+001   -0.997314E+000 
    0.702857E+002    0.166690E+001   -0.101041E+001 
    0.705714E+002    0.165394E+001   -0.102337E+001 
    0.708571E+002    0.164120E+001   -0.103611E+001 
    0.711429E+002    0.162884E+001   -0.104847E+001 
    0.714286E+002    0.161713E+001   -0.106018E+001 
    0.717143E+002    0.160671E+001   -0.107060E+001 
    0.719990E+002    0.159890E+001   -0.107841E+001 
    0.720010E+002    0.159890E+001   -0.107841E+001 
    0.721990E+002    0.159607E+001   -0.108124E+001 
    0.722010E+002    0.159607E+001   -0.108124E+001 
    0.723990E+002    0.159311E+001   -0.108420E+001 
    0.724010E+002    0.159311E+001   -0.108420E+001 
    0.725990E+002    0.159002E+001   -0.108729E+001 
    0.726010E+002    0.159002E+001   -0.108729E+001 
    0.727990E+002    0.158691E+001   -0.109040E+001 
    0.728010E+002    0.158691E+001   -0.109040E+001 
    0.729990E+002    0.158379E+001   -0.109352E+001 
    0.730010E+002    0.158379E+001   -0.109352E+001 
    0.731990E+002    0.158066E+001   -0.109665E+001 
    0.732010E+002    0.158066E+001   -0.109665E+001 
    0.733990E+002    0.157753E+001   -0.109977E+001 
    0.734010E+002    0.157753E+001   -0.109977E+001 
    0.735990E+002    0.157442E+001   -0.110288E+001 
    0.736010E+002    0.157442E+001   -0.110288E+001 
    0.737990E+002    0.157143E+001   -0.110588E+001 
    0.738010E+002    0.157143E+001   -0.110588E+001 
    0.739990E+002    0.156855E+001   -0.110876E+001 
    0.740010E+002    0.227085E+001   -0.116676E+001 
    0.744000E+002    0.227804E+001   -0.115956E+001 
    0.748000E+002    0.228129E+001   -0.115631E+001 
    0.752000E+002    0.228299E+001   -0.115461E+001 
    0.756000E+002    0.228403E+001   -0.115357E+001 
    0.760000E+002    0.228476E+001   -0.115284E+001 
    0.800000E+002    0.228587E+001   -0.115173E+001 
    0.840000E+002    0.228605E+001   -0.115155E+001 
    0.880000E+002    0.228610E+001   -0.115150E+001 
    0.920000E+002    0.228611E+001   -0.115149E+001 
    0.960000E+002    0.228612E+001   -0.115148E+001 
    0.100000E+003    0.228612E+001   -0.115148E+001 
