    0.875000E+000   -0.741677E+002   -0.194446E+001   -0.194452E+001 
    0.262500E+001   -0.225277E+003   -0.201653E+001   -0.201658E+001 
    0.437500E+001   -0.385022E+003   -0.217577E+001   -0.217582E+001 
    0.612500E+001   -0.560770E+003   -0.245373E+001   -0.245378E+001 
    0.787500E+001   -0.763180E+003   -0.291298E+001   -0.291303E+001 
    0.962500E+001   -0.100949E+004   -0.368157E+001   -0.368161E+001 
    0.113750E+002   -0.133027E+004   -0.502554E+001   -0.502558E+001 
    0.131250E+002   -0.178332E+004   -0.749311E+001   -0.749315E+001 
    0.148750E+002   -0.248377E+004   -0.122550E+002   -0.122550E+002 
    0.166250E+002   -0.367003E+004   -0.218933E+002   -0.218934E+002 
    0.183750E+002   -0.585437E+004   -0.423246E+002   -0.423246E+002 
    0.201250E+002   -0.101859E+005   -0.880368E+002   -0.880369E+002 
    0.218750E+002   -0.194073E+005   -0.198673E+003   -0.198674E+003 
    0.236250E+002   -0.407672E+005   -0.504129E+003   -0.504129E+003 
    0.253750E+002   -0.969865E+005   -0.155981E+004   -0.155981E+004 
    0.271250E+002   -0.280658E+006   -0.675926E+004   -0.675926E+004 
    0.281111E+002   -0.762091E+006   -0.140600E+005   -0.140600E+005 
    0.283333E+002   -0.927524E+006   -0.210429E+005   -0.210429E+005 
    0.285556E+002   -0.117164E+007   -0.311917E+005   -0.311917E+005 
    0.287778E+002   -0.153396E+007   -0.470697E+005   -0.470697E+005 
    0.290000E+002   -0.208562E+007   -0.734853E+005   -0.734853E+005 
    0.292222E+002   -0.295860E+007   -0.120088E+006   -0.120088E+006 
    0.294444E+002   -0.440941E+007   -0.206712E+006   -0.206712E+006 
    0.296667E+002   -0.695535E+007   -0.366494E+006   -0.366494E+006 
    0.298889E+002   -0.115482E+008   -0.555264E+006   -0.555264E+006 
    0.300556E+002    0.832749E+007   -0.386449E+006   -0.386449E+006 
    0.301667E+002    0.785863E+007   -0.665341E+005   -0.665341E+005 
    0.302778E+002    0.790759E+007    0.605740E+004    0.605740E+004 
    0.303889E+002    0.797934E+007    0.105571E+005    0.105571E+005 
    0.305000E+002    0.801591E+007    0.533810E+004    0.533810E+004 
    0.306111E+002    0.802645E+007    0.130636E+004    0.130636E+004 
    0.307222E+002    0.802346E+007   -0.638290E+003   -0.638290E+003 
    0.308333E+002    0.801637E+007   -0.100692E+004   -0.100692E+004 
    0.309444E+002    0.801133E+007   -0.438759E+003   -0.438759E+003 
    0.310556E+002    0.801132E+007    0.437944E+003    0.437944E+003 
    0.311667E+002    0.801637E+007    0.100609E+004    0.100609E+004 
    0.312778E+002    0.802345E+007    0.637441E+003    0.637441E+003 
    0.313889E+002    0.802644E+007   -0.130720E+004   -0.130720E+004 
    0.315000E+002    0.801590E+007   -0.533891E+004   -0.533891E+004 
    0.316111E+002    0.797932E+007   -0.105579E+005   -0.105579E+005 
    0.317222E+002    0.790757E+007   -0.605823E+004   -0.605823E+004 
    0.318333E+002    0.785860E+007    0.665333E+005    0.665333E+005 
    0.319444E+002    0.832745E+007    0.386449E+006    0.386449E+006 
    0.321111E+002   -0.115483E+008    0.555263E+006    0.555263E+006 
    0.323333E+002   -0.695540E+007    0.366493E+006    0.366493E+006 
    0.325556E+002   -0.440947E+007    0.206711E+006    0.206711E+006 
    0.327778E+002   -0.295867E+007    0.120087E+006    0.120087E+006 
    0.330000E+002   -0.208570E+007    0.734844E+005    0.734844E+005 
    0.332222E+002   -0.153404E+007    0.470688E+005    0.470688E+005 
    0.334444E+002   -0.117173E+007    0.311908E+005    0.311908E+005 
    0.336667E+002   -0.927626E+006    0.210420E+005    0.210420E+005 
    0.338889E+002   -0.762202E+006    0.140591E+005    0.140591E+005 
    0.348750E+002   -0.280808E+006    0.675835E+004    0.675835E+004 
    0.366250E+002   -0.972086E+005    0.155884E+004    0.155884E+004 
